# x,y
0.000000,0.000000
-0.208646,0.001959
-0.415119,0.001750
-0.625512,0.006112
-0.836902,0.014916
-1.041174,0.033713
-1.242519,0.064263
-1.444091,0.105929
-1.648275,0.157925
-1.854368,0.215500
-2.054106,0.256629
-2.253812,0.268365
-2.457346,0.311867
-2.642308,0.399185
-2.799932,0.523007
-2.928945,0.678420
-3.066881,0.827750
-3.200108,0.984313
-3.336395,1.130999
-3.473042,1.279470
-3.597693,1.442621
-3.708273,1.610699
-3.836007,1.769142
-3.929052,1.951424
-4.006834,2.143987
-4.117381,2.312402
-4.214336,2.488969
-4.310271,2.672546
-4.372034,2.868717
-4.439307,3.058351
-4.486431,3.255051
-4.540864,3.453105
-4.573257,3.655706
-4.596432,3.860876
-4.594170,4.067073
-4.587285,4.270426
-4.562869,4.469109
-4.520182,4.668048
-4.479520,4.865162
-4.403894,5.055875
-4.315282,5.237757
-4.205650,5.408847
-4.098067,5.586719
-3.968926,5.743809
-3.839975,5.906620
-3.708572,6.065646
-3.546208,6.189831
-3.360925,6.274070
-3.161219,6.314792
-2.956284,6.309525
-2.760898,6.259368
-2.579361,6.165709
-2.423485,6.033780
-2.300313,5.869057
-2.216734,5.681042
-2.130311,5.500460
-2.004397,5.328720
-1.878934,5.167092
-1.789669,4.978664
-1.745064,4.782769
-1.691068,4.580948
-1.611494,4.383802
-1.547753,4.184582
-1.484308,3.989919
-1.451137,3.788689
-1.443472,3.586624
-1.439884,3.386037
-1.479681,3.185250
-1.546226,2.992435
-1.586939,2.792304
-1.658061,2.604248
-1.716304,2.408447
-1.784883,2.215937
-1.884887,2.042476
-1.964044,1.851542
-2.065043,1.670035
-2.186752,1.497727
-2.269691,1.307082
-2.363051,1.123253
-2.480732,0.958596
-2.599678,0.785412
-2.721479,0.622934
-2.849929,0.468878
-2.999569,0.321609
-3.154482,0.179331
-3.317633,0.054510
-3.503345,-0.057237
-3.691892,-0.160954
-3.868014,-0.270270
-4.046744,-0.374319
-4.227051,-0.467449
-4.411801,-0.550146
-4.600910,-0.622645
-4.804267,-0.686590
-5.014616,-0.720909
-5.215432,-0.710247
-5.410615,-0.665964
-5.607773,-0.630123
-5.809841,-0.636010
-6.020518,-0.634990
-6.218918,-0.587515
-6.404899,-0.494547
-6.567308,-0.369571
-6.738393,-0.249955
-6.931649,-0.173060
-7.131814,-0.140745
-7.331072,-0.094699
-7.511711,-0.006845
-7.673016,0.123242
-7.798667,0.283751
-7.883905,0.465343
-7.927692,0.667078
-7.925148,0.868475
-7.878038,1.064566
-7.788551,1.251056
-7.675418,1.429690
-7.578088,1.611089
-7.507370,1.810488
-7.422855,2.004247
-7.314868,2.187681
-7.216909,2.369546
-7.158591,2.566134
-7.081784,2.757324
-6.966090,2.923630
-6.828547,3.072884
-6.706801,3.234954
-6.559123,3.382945
-6.395824,3.501475
-6.234890,3.632906
-6.056893,3.740838
-5.870623,3.830063
-5.697086,3.932996
-5.507461,4.017032
-5.302330,4.062095
-5.110488,4.124348
-4.918271,4.204821
-4.721431,4.242901
-4.516158,4.235887
-4.316416,4.182196
-4.134356,4.084638
-3.978986,3.948129
-3.860742,3.783327
-3.764140,3.599348
-3.690598,3.407769
-3.659102,3.206906
-3.614365,3.009802
-3.585776,2.809670
-3.601965,2.607492
-3.643705,2.411076
-3.664131,2.206652
-3.720400,2.005161
-3.813918,1.824032
-3.887318,1.630666
-3.920379,1.423860
-3.974998,1.231020
-4.074931,1.048911
-4.191981,0.881454
-4.279622,0.692066
-4.379706,0.512012
-4.509021,0.345981
-4.640617,0.187568
-4.766959,0.027380
-4.898887,-0.128720
-5.043353,-0.280003
-5.199679,-0.425141
-5.356270,-0.557725
-5.513769,-0.681012
-5.670122,-0.812484
-5.796364,-0.973358
-5.928480,-1.128398
-6.086065,-1.254385
-6.266257,-1.346225
-6.461287,-1.396340
-6.655796,-1.451267
-6.857751,-1.489142
-7.057925,-1.535932
